Time,Cpu_Usage_Percentage,Network_Call,RAM_Usage_Percentage,Garbage_Collector,Class
Sun Jul 25 2021 16:45:07 GMT+0200 (GMT+02:00),,,200458240,150390488,normal
Sun Jul 25 2021 16:45:08 GMT+0200 (GMT+02:00),,,200458240,150390488,normal
Sun Jul 25 2021 16:45:09 GMT+0200 (GMT+02:00),0.174356,[IN] - 200 [GET] /api/patients,246988800,150390488,anomaly
Sun Jul 25 2021 16:45:09 GMT+0200 (GMT+02:00),0.174356,,246988800,150390488,anomaly
Sun Jul 25 2021 16:45:09 GMT+0200 (GMT+02:00),0.174356,[OUT] - 200 [GET] http://www.google.it/,246988800,150390488,normal
Sun Jul 25 2021 16:45:10 GMT+0200 (GMT+02:00),0.174356,[IN] - 200 [GET] /api/patients,246988800,150390488,normal
Sun Jul 25 2021 16:45:10 GMT+0200 (GMT+02:00),0.174356,,246988800,150390488,normal
Sun Jul 25 2021 16:45:11 GMT+0200 (GMT+02:00),0.174356,,247693312,150390488,normal
Sun Jul 25 2021 16:45:12 GMT+0200 (GMT+02:00),0.174356,,247693312,150390488,normal
Sun Jul 25 2021 16:45:12 GMT+0200 (GMT+02:00),0.174356,[OUT] - 200 [GET] http://www.google.it/,247693312,150390488,normal
Sun Jul 25 2021 16:45:13 GMT+0200 (GMT+02:00),0.00333602,,247705600,150390488,normal
Sun Jul 25 2021 16:45:14 GMT+0200 (GMT+02:00),0.00333602,,247705600,150390488,normal
Sun Jul 25 2021 16:45:14 GMT+0200 (GMT+02:00),0.00333602,[IN] - 200 [GET] /api/patients/60fd76117e311a3c033989bf,247705600,150390488,normal
Sun Jul 25 2021 16:45:15 GMT+0200 (GMT+02:00),0.00193621,,247705600,145684480,normal
Sun Jul 25 2021 16:45:15 GMT+0200 (GMT+02:00),0.00193621,[OUT] - 200 [GET] http://www.google.it/,247705600,145684480,normal
Sun Jul 25 2021 16:45:16 GMT+0200 (GMT+02:00),0.00193621,,247705600,145684480,normal
Sun Jul 25 2021 16:45:17 GMT+0200 (GMT+02:00),0.00193621,,208887808,145296944,normal
Sun Jul 25 2021 16:45:18 GMT+0200 (GMT+02:00),0.00193621,,208887808,145296944,normal
Sun Jul 25 2021 16:45:18 GMT+0200 (GMT+02:00),0.00193621,[OUT] - 200 [GET] http://www.google.it/,208887808,145296944,normal
Sun Jul 25 2021 16:45:18 GMT+0200 (GMT+02:00),0.00193621,[IN] - 200 [PUT] /api/patients/60fd76117e311a3c033989bf,208887808,145296944,normal
Sun Jul 25 2021 16:45:19 GMT+0200 (GMT+02:00),0.0247708,,208887808,145429784,normal
Sun Jul 25 2021 16:45:20 GMT+0200 (GMT+02:00),0.0247708,,208887808,145429784,normal
Sun Jul 25 2021 16:45:21 GMT+0200 (GMT+02:00),0.00294134,,210509824,145929888,normal
Sun Jul 25 2021 16:45:21 GMT+0200 (GMT+02:00),0.00294134,[OUT] - 200 [GET] http://www.google.it/,210509824,145929888,normal
Sun Jul 25 2021 16:45:22 GMT+0200 (GMT+02:00),0.00294134,[IN] - 200 [DELETE] /api/patients/60fd76117e311a3c033989bf,210509824,145929888,normal
Sun Jul 25 2021 16:45:22 GMT+0200 (GMT+02:00),0.00294134,,210509824,145929888,normal
Sun Jul 25 2021 16:45:23 GMT+0200 (GMT+02:00),0.00235257,,210509824,145929888,normal
Sun Jul 25 2021 16:45:24 GMT+0200 (GMT+02:00),0.00235257,,210509824,145929888,normal
Sun Jul 25 2021 16:45:24 GMT+0200 (GMT+02:00),0.00235257,[OUT] - 200 [GET] http://www.google.it/,210509824,145929888,normal
Sun Jul 25 2021 16:45:25 GMT+0200 (GMT+02:00),0.00235257,,209678336,146025024,normal
Sun Jul 25 2021 16:45:26 GMT+0200 (GMT+02:00),0.00235257,,209678336,146025024,normal
Sun Jul 25 2021 16:45:27 GMT+0200 (GMT+02:00),0.0026036,,209596416,146025024,anomaly
Sun Jul 25 2021 16:45:27 GMT+0200 (GMT+02:00),0.0026036,[OUT] - 200 [GET] http://www.google.it/,209596416,146025024,anomaly
Sun Jul 25 2021 16:45:28 GMT+0200 (GMT+02:00),0.0026036,,209596416,146025024,normal
Sun Jul 25 2021 16:45:29 GMT+0200 (GMT+02:00),0.00194756,,209235968,146121088,normal
Sun Jul 25 2021 16:45:30 GMT+0200 (GMT+02:00),0.00194756,,209235968,146121088,normal
Sun Jul 25 2021 16:45:30 GMT+0200 (GMT+02:00),0.00194756,[OUT] - 200 [GET] http://www.google.it/,209235968,146121088,normal
Sun Jul 25 2021 16:45:31 GMT+0200 (GMT+02:00),0.00194756,,209235968,146121088,normal
Sun Jul 25 2021 16:45:32 GMT+0200 (GMT+02:00),0.00194756,,209235968,146121088,normal
Sun Jul 25 2021 16:45:33 GMT+0200 (GMT+02:00),0.00183397,,209911808,146121088,normal
Sun Jul 25 2021 16:45:33 GMT+0200 (GMT+02:00),0.00183397,[OUT] - 200 [GET] http://www.google.it/,209911808,146121088,normal
Sun Jul 25 2021 16:45:34 GMT+0200 (GMT+02:00),0.00183397,,209911808,146121088,normal
Sun Jul 25 2021 16:45:35 GMT+0200 (GMT+02:00),0.0022377,,209489920,146196744,normal
Sun Jul 25 2021 16:45:36 GMT+0200 (GMT+02:00),0.0022377,,209489920,146196744,normal
Sun Jul 25 2021 16:45:36 GMT+0200 (GMT+02:00),0.0022377,[OUT] - 200 [GET] http://www.google.it/,209489920,146196744,normal
Sun Jul 25 2021 16:45:37 GMT+0200 (GMT+02:00),0.0022377,,209489920,146196744,normal
Sun Jul 25 2021 16:45:38 GMT+0200 (GMT+02:00),0.0022377,,209489920,146196744,normal
Sun Jul 25 2021 16:45:39 GMT+0200 (GMT+02:00),0.00157337,,209272832,146273488,normal
Sun Jul 25 2021 16:45:39 GMT+0200 (GMT+02:00),0.00157337,[OUT] - 200 [GET] http://www.google.it/,209272832,146273488,normal
Sun Jul 25 2021 16:45:40 GMT+0200 (GMT+02:00),0.00157337,,209272832,146273488,normal
Sun Jul 25 2021 16:45:41 GMT+0200 (GMT+02:00),0.00149309,,209272832,146273488,normal
Sun Jul 25 2021 16:45:42 GMT+0200 (GMT+02:00),0.00149309,,209272832,146273488,normal
Sun Jul 25 2021 16:45:42 GMT+0200 (GMT+02:00),0.00149309,[OUT] - 200 [GET] http://www.google.it/,209272832,146273488,normal
Sun Jul 25 2021 16:45:43 GMT+0200 (GMT+02:00),0.00149309,,209858560,146368056,normal
Sun Jul 25 2021 16:45:44 GMT+0200 (GMT+02:00),0.00149309,,209858560,146368056,normal
Sun Jul 25 2021 16:45:45 GMT+0200 (GMT+02:00),0.0016885,,209858560,146368056,normal
Sun Jul 25 2021 16:45:45 GMT+0200 (GMT+02:00),0.0016885,[OUT] - 200 [GET] http://www.google.it/,209858560,146368056,normal
Sun Jul 25 2021 16:45:46 GMT+0200 (GMT+02:00),0.0016885,,209858560,146368056,normal
Sun Jul 25 2021 16:45:47 GMT+0200 (GMT+02:00),0.00163439,,209997824,146368056,normal
Sun Jul 25 2021 16:45:48 GMT+0200 (GMT+02:00),0.00163439,,209997824,146368056,normal
Sun Jul 25 2021 16:45:48 GMT+0200 (GMT+02:00),0.00163439,[OUT] - 200 [GET] http://www.google.it/,209997824,146368056,normal
Sun Jul 25 2021 16:45:49 GMT+0200 (GMT+02:00),0.00163439,,209997824,146426936,normal
Sun Jul 25 2021 16:45:50 GMT+0200 (GMT+02:00),0.00163439,,209997824,146426936,normal
Sun Jul 25 2021 16:45:51 GMT+0200 (GMT+02:00),0.00173347,,209641472,146426936,normal
Sun Jul 25 2021 16:45:51 GMT+0200 (GMT+02:00),0.00173347,[OUT] - 200 [GET] http://www.google.it/,209641472,146426936,normal
Sun Jul 25 2021 16:45:52 GMT+0200 (GMT+02:00),0.00173347,,209641472,146426936,normal
Sun Jul 25 2021 16:45:53 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:54 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:54 GMT+0200 (GMT+02:00),0.00184454,[OUT] - 200 [GET] http://www.google.it/,209399808,146516296,normal
Sun Jul 25 2021 16:45:55 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:56 GMT+0200 (GMT+02:00),0.00184454,,209399808,146516296,normal
Sun Jul 25 2021 16:45:57 GMT+0200 (GMT+02:00),0.00168058,,209883136,146516296,normal
Sun Jul 25 2021 16:45:57 GMT+0200 (GMT+02:00),0.00168058,[OUT] - 200 [GET] http://www.google.it/,209883136,146516296,normal
Sun Jul 25 2021 16:45:58 GMT+0200 (GMT+02:00),0.00168058,,209883136,146516296,normal
Sun Jul 25 2021 16:45:59 GMT+0200 (GMT+02:00),0.00192768,,209555456,146581808,normal
Sun Jul 25 2021 16:46:00 GMT+0200 (GMT+02:00),0.00192768,,209555456,146581808,normal
Sun Jul 25 2021 16:46:00 GMT+0200 (GMT+02:00),0.00192768,[OUT] - 200 [GET] http://www.google.it/,209555456,146581808,normal
Sun Jul 25 2021 16:46:00 GMT+0200 (GMT+02:00),0.00192768,[IN] - 200 [DELETE] /api/patients/60fd76117e311a3c033989bf,209555456,146581808,normal
